emotion,valence,arousal,time
satisfaction,0.31,0.14,5
joy,0.38,0.42,10
joy,0.6,0.59,10
disgust,-0.2,0.25,50
envy,-0.45,0.16,7
pride,0.04,0.33,20
pride,0.09,0.52,10
elation,0.24,0.44,20
pride,0.05,0.35,7
disgust,-0.58,0.42,8
